PLAYER,PTS,TREB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
"T.J. McConnell (IND - PG,SG) ",569,239,413,18,107,0.542,0.745,14,78,"1,742",125
Thomas Bryant (WAS - C) OUT ,564,358,67,36,20,0.615,0.723,35,45,"1,079",45
Ricky Rubio (CLE - PG) ,562,206,373,8,90,0.388,0.86,64,75,"1,659",106
"Royce O'Neale (UTH - SF,PF) ",520,418,171,32,59,0.457,0.813,108,77,"2,297",83
Facundo Campazzo (DEN - PG) ,497,120,295,13,97,0.387,0.874,101,73,"1,727",91
"Tristan Thompson (SAC - PF,C) ",496,568,81,36,31,0.544,0.617,1,68,"1,358",61
"Derrick Favors (OKC - C,PF) ",494,445,48,63,41,0.601,0.71,2,63,"1,384",48
"Tomas Satoransky (NOR - PG,SG) ",481,197,259,9,59,0.49,0.882,46,75,"1,513",100
Jaxson Hayes (NOR - C) ,479,316,50,55,28,0.647,0.7,5,69,"1,075",48
"JaMychal Green (DEN - PF,C) ",478,329,52,28,30,0.461,0.823,93,73,"1,208",59
"Hassan Whiteside (UTH - PF,C) ",465,489,39,87,19,0.608,0.58,0,66,"1,124",70
"Patrick Beverley (MIN - PG,SG) ",461,277,149,35,60,0.407,0.761,95,71,"1,467",76
Dewayne Dedmon (MIA - C) ,460,315,52,49,40,0.525,0.794,27,72,"1,222",60
Dwight Howard (LAL - C) ,452,474,47,60,28,0.618,0.584,0,75,"1,273",91
"Trevor Ariza (LAL - SG,SF,PF) OUT ",450,258,98,25,54,0.427,0.828,80,61,"1,530",57
"Paul Millsap (BKN - PF,C) ",442,226,65,31,38,0.499,0.728,37,65,"1,060",50
"Nicolas Claxton (BKN - C,PF) ",442,358,55,83,43,0.6,0.514,0,73,"1,223",48
Enes Kanter (BOS - C) ,417,325,43,28,18,0.602,0.772,1,63,947,49
"Kenrich Williams (OKC - SF,PF) ",416,290,123,22,59,0.475,0.526,63,70,"1,505",74
