,PLAYER,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,FGA,FTA
22,De'Aaron Fox,1661,275,454,27,89,0.477,0.74,103,69,2433,198,18.5,5.9
23,Kyrie Irving,1656,270,350,34,82,0.472,0.918,197,62,2241,156,21.2,4.4
24,Pascal Siakam,1630,607,371,48,86,0.481,0.76,92,73,2727,194,17.8,5.6
25,James Harden,1602,528,705,39,92,0.43,0.871,174,72,2557,295,15.3,8.2
26,Cade Cunningham,1600,440,490,48,89,0.437,0.855,151,74,2538,279,16.1,2.6
27,RJ Barrett,1575,473,231,20,51,0.425,0.715,155,75,2639,157,17.1,5.8
28,CJ McCollum,1574,320,363,27,79,0.452,0.72,208,73,2526,149,18.8,2.7
29,Brandon Ingram,1571,372,348,32,51,0.457,0.826,110,68,2337,175,10.75639810426539,2.6464454976303333
30,LaMelo Ball,1567,471,582,28,113,0.434,0.866,223,69,2354,244,16.7,3.2
31,Paul George,1563,444,340,30,112,0.449,0.859,203,67,2319,231,20.5,4.8
32,Julius Randle,1543,723,366,37,60,0.441,0.777,136,75,2660,238,17.3,5.6
33,Terry Rozier,1507,315,330,25,93,0.445,0.845,231,74,2513,114,16.0,2.4
34,Darius Garland,1499,234,606,8,92,0.464,0.895,177,73,2561,221,17.3,3.5
35,Kawhi Leonard,1496,407,291,26,89,0.488,0.889,118,61,2025,135,10.75639810426539,2.6464454976303333
36,Anthony Davis,1496,600,193,129,80,0.514,0.737,35,63,2209,136,10.75639810426539,2.6464454976303333
37,Tyler Herro,1474,358,297,9,52,0.442,0.873,188,71,2364,190,17.0,3.3
